Ticker,Start Date,End Date,Start Price,End Price,Percentage Increase
MRAAY,2020-10-01,2020-12-31,10.77,15.11,40.31
CALB,2020-10-01,2020-12-31,11.09,15.56,40.31
AMBA,2022-10-03,2022-12-30,58.61,82.23,40.3
BLBLF,2024-04-01,2024-06-28,11.69,16.4,40.29
PRE,2024-04-01,2024-06-28,4.22,5.92,40.28
MCB,2021-01-04,2021-03-31,35.9,50.36,40.28
AVPT,2020-10-01,2020-12-31,10.7,15.01,40.28
SITM,2021-10-01,2021-12-31,208.55,292.54,40.27
LOVE,2021-01-04,2021-03-31,40.35,56.6,40.27
BCTX,2021-04-01,2021-06-30,3.8,5.33,40.26
PRTC,2020-11-16,2020-12-31,38.5,54.0,40.26
INVE,2020-10-01,2020-12-31,6.06,8.5,40.26
WPPGF,2020-10-01,2020-12-31,6.69,9.39,40.25
MAX,2023-10-02,2023-12-29,7.95,11.15,40.25
SENEM,2022-04-01,2022-06-30,36.0,50.49,40.25
GLP,2023-10-02,2023-12-29,28.74,40.31,40.25
DNLI,2021-04-01,2021-06-30,55.93,78.44,40.25
PLL,2023-01-03,2023-03-31,42.82,60.05,40.24
